Date,Region,Quarter,Noise,Region_Adjustment,Quarter_Adjustment,Europe_Q4_Adjustment,Value
2020-01-01,Europe,1,0.333431894,1,2,0,3.333431894
2020-02-01,Europe,1,0.185375854,1,2,0,3.185375854
2020-03-01,Europe,1,0.367314141,1,2,0,3.367314141
2020-04-01,Europe,2,0.79863538,1,0,0,1.79863538
2020-05-01,Europe,2,0.576988755,1,0,0,1.576988755
2020-06-01,Europe,2,0.669610059,1,0,0,1.669610059
2020-07-01,Europe,3,0.213299801,1,0,0,1.213299801
2020-08-01,Europe,3,0.166456578,1,0,0,1.166456578
2020-09-01,Europe,3,0.016348872,1,0,0,1.016348872
2020-10-01,Europe,4,0.452333615,1,2,-1,2.452333615
2020-11-01,Europe,4,0.999725902,1,2,-1,2.999725902
2020-12-01,Europe,4,0.716303537,1,2,-1,2.716303537
2021-01-01,Europe,1,0.523376366,1,2,0,3.523376366
2021-02-01,Europe,1,0.111446836,1,2,0,3.111446836
2021-03-01,Europe,1,0.894456645,1,2,0,3.894456645
2021-04-01,Europe,2,0.047929985,1,0,0,1.047929985
2021-05-01,Europe,2,0.033355679,1,0,0,1.033355679
2021-06-01,Europe,2,0.619780028,1,0,0,1.619780028
2021-07-01,Europe,3,0.735380031,1,0,0,1.735380031
2021-08-01,Europe,3,0.193852013,1,0,0,1.193852013
2021-09-01,Europe,3,0.98274435,1,0,0,1.98274435
2021-10-01,Europe,4,0.362575658,1,2,-1,2.362575658
2021-11-01,Europe,4,0.980617583,1,2,-1,2.980617583
2021-12-01,Europe,4,0.455768232,1,2,-1,2.455768232
2022-01-01,Europe,1,0.093321601,1,2,0,3.093321601
2022-02-01,Europe,1,0.520992497,1,2,0,3.520992497
2022-03-01,Europe,1,0.093622795,1,2,0,3.093622795
2022-04-01,Europe,2,0.26351317,1,0,0,1.26351317
2022-05-01,Europe,2,0.921509313,1,0,0,1.921509313
2022-06-01,Europe,2,0.665013195,1,0,0,1.665013195
2022-07-01,Europe,3,0.738589108,1,0,0,1.738589108
2022-08-01,Europe,3,0.115373137,1,0,0,1.115373137
2022-09-01,Europe,3,0.153121568,1,0,0,1.153121568
2022-10-01,Europe,4,0.535064782,1,2,-1,2.535064782
2022-11-01,Europe,4,0.601177769,1,2,-1,2.601177769
2022-12-01,Europe,4,0.300195,1,2,-1,2.300195
2020-01-01,N. America,1,0.965995441,0,2,0,2.965995441
2020-02-01,N. America,1,0.025861444,0,2,0,2.025861444
2020-03-01,N. America,1,0.808953423,0,2,0,2.808953423
2020-04-01,N. America,2,0.864288752,0,0,0,0.864288752
2020-05-01,N. America,2,0.135373504,0,0,0,0.135373504
2020-06-01,N. America,2,0.07682,0,0,0,0.07682
2020-07-01,N. America,3,0.083823155,0,0,0,0.083823155
2020-08-01,N. America,3,0.661243783,0,0,0,0.661243783
2020-09-01,N. America,3,0.947523878,0,0,0,0.947523878
2020-10-01,N. America,4,0.835791216,0,2,0,2.835791216
2020-11-01,N. America,4,0.265797203,0,2,0,2.265797203
2020-12-01,N. America,4,0.566068581,0,2,0,2.566068581
2021-01-01,N. America,1,0.721025889,0,2,0,2.721025889
2021-02-01,N. America,1,0.399289983,0,2,0,2.399289983
2021-03-01,N. America,1,0.954000013,0,2,0,2.954000013
2021-04-01,N. America,2,0.051981789,0,0,0,0.051981789
2021-05-01,N. America,2,0.994715218,0,0,0,0.994715218
2021-06-01,N. America,2,0.400030938,0,0,0,0.400030938
2021-07-01,N. America,3,0.159071624,0,0,0,0.159071624
2021-08-01,N. America,3,0.587298443,0,0,0,0.587298443
2021-09-01,N. America,3,0.800020805,0,0,0,0.800020805
2021-10-01,N. America,4,0.018196905,0,2,0,2.018196905
2021-11-01,N. America,4,0.0484027,0,2,0,2.0484027
2021-12-01,N. America,4,0.363088881,0,2,0,2.363088881
2022-01-01,N. America,1,0.575405335,0,2,0,2.575405335
2022-02-01,N. America,1,0.0550093,0,2,0,2.0550093
2022-03-01,N. America,1,0.252502077,0,2,0,2.252502077
2022-04-01,N. America,2,0.145525157,0,0,0,0.145525157
2022-05-01,N. America,2,0.443261077,0,0,0,0.443261077
2022-06-01,N. America,2,0.992098058,0,0,0,0.992098058
2022-07-01,N. America,3,0.142687663,0,0,0,0.142687663
2022-08-01,N. America,3,0.833161843,0,0,0,0.833161843
2022-09-01,N. America,3,0.549361607,0,0,0,0.549361607
2022-10-01,N. America,4,0.895663535,0,2,0,2.895663535
2022-11-01,N. America,4,0.052829088,0,2,0,2.052829088
2022-12-01,N. America,4,0.436491042,0,2,0,2.436491042
